"DATE","BLOCK","PLOT","TREATMENT","EXCLUSION","TRANSECT","METER","RICHNESS"
2022-04-20,4,"1","CC","CAGED","NORTH",1,4
2022-04-20,4,"1","CC","CAGED","NORTH",2,5
2022-04-20,4,"1","CC","CAGED","NORTH",3,9
2022-04-20,4,"1","CC","CAGED","EAST",1,6
2022-04-20,4,"1","CC","CAGED","EAST",2,9
2022-04-20,4,"1","CC","CAGED","EAST",3,4
2022-04-20,4,"1","CC","CAGED","SOUTH",1,7
2022-04-20,4,"1","CC","CAGED","SOUTH",2,7
2022-04-20,4,"1","CC","CAGED","SOUTH",3,9
2022-04-20,4,"1","CC","CAGED","WEST",1,6
2022-04-20,4,"1","CC","CAGED","WEST",2,3
2022-04-20,4,"1","CC","CAGED","WEST",3,2
2022-04-20,4,"2","OC","OPEN","CENTER",0,2
2022-04-20,4,"2","OC","OPEN","NORTH",1,2
2022-04-20,4,"2","OC","OPEN","NORTH",2,3
2022-04-20,4,"2","OC","OPEN","NORTH",3,2
2022-04-20,4,"2","OC","OPEN","EAST",1,5
2022-04-20,4,"2","OC","OPEN","EAST",2,6
2022-04-20,4,"2","OC","OPEN","EAST",3,5
2022-04-20,4,"2","OC","OPEN","SOUTH",1,5
2022-04-20,4,"2","OC","OPEN","SOUTH",2,5
2022-04-20,4,"2","OC","OPEN","SOUTH",3,5
2022-04-20,4,"2","OC","OPEN","WEST",1,3
2022-04-20,4,"2","OC","OPEN","WEST",2,5
2022-04-20,4,"2","OC","OPEN","WEST",3,4
2022-04-20,5,"2","OC","OPEN","CENTER",0,5
2022-04-20,5,"2","OC","OPEN","NORTH",1,7
2022-04-20,5,"2","OC","OPEN","NORTH",2,3
2022-04-20,5,"2","OC","OPEN","NORTH",3,6
2022-04-20,5,"2","OC","OPEN","EAST",1,2
2022-04-20,5,"2","OC","OPEN","EAST",2,5
2022-04-20,5,"2","OC","OPEN","EAST",3,5
2022-04-20,5,"2","OC","OPEN","SOUTH",1,5
2022-04-20,5,"2","OC","OPEN","SOUTH",2,4
2022-04-20,5,"2","OC","OPEN","SOUTH",3,7
2022-04-20,5,"2","OC","OPEN","WEST",1,5
2022-04-20,5,"2","OC","OPEN","WEST",2,6
2022-04-20,5,"2","OC","OPEN","WEST",3,4
2022-04-22,5,"REF","REF","REF","CENTER",0,5
2022-04-22,5,"REF","REF","REF","NORTH",1,6
2022-04-22,5,"REF","REF","REF","NORTH",2,6
2022-04-22,5,"REF","REF","REF","NORTH",3,4
2022-04-22,5,"REF","REF","REF","EAST",1,5
2022-04-22,5,"REF","REF","REF","EAST",2,4
2022-04-22,5,"REF","REF","REF","EAST",3,6
2022-04-22,5,"REF","REF","REF","SOUTH",1,4
2022-04-22,5,"REF","REF","REF","SOUTH",2,4
2022-04-22,5,"REF","REF","REF","SOUTH",3,4
2022-04-22,5,"REF","REF","REF","WEST",1,7
2022-04-22,5,"REF","REF","REF","WEST",2,4
2022-04-22,5,"REF","REF","REF","WEST",3,7
2022-04-22,5,"5","CC","CAGED","CENTER",0,5
2022-04-22,5,"5","CC","CAGED","NORTH",1,4
2022-04-22,5,"5","CC","CAGED","NORTH",2,7
2022-04-22,5,"5","CC","CAGED","NORTH",3,7
2022-04-22,5,"5","CC","CAGED","EAST",1,4
2022-04-22,5,"5","CC","CAGED","EAST",2,5
2022-04-22,5,"5","CC","CAGED","EAST",3,7
2022-04-22,5,"5","CC","CAGED","SOUTH",1,4
2022-04-22,5,"5","CC","CAGED","SOUTH",2,4
2022-04-22,5,"5","CC","CAGED","SOUTH",3,5
2022-04-22,5,"5","CC","CAGED","WEST",1,5
2022-04-22,5,"5","CC","CAGED","WEST",2,4
2022-04-22,5,"5","CC","CAGED","WEST",3,4
2022-04-22,18,"1","OC","OPEN","CENTER",0,6
2022-04-22,18,"1","OC","OPEN","NORTH",1,7
2022-04-22,18,"1","OC","OPEN","NORTH",2,4
2022-04-22,18,"1","OC","OPEN","NORTH",3,6
2022-04-22,18,"1","OC","OPEN","EAST",1,6
2022-04-22,18,"1","OC","OPEN","EAST",2,7
2022-04-22,18,"1","OC","OPEN","EAST",3,6
2022-04-22,18,"1","OC","OPEN","SOUTH",1,7
2022-04-22,18,"1","OC","OPEN","SOUTH",2,4
2022-04-22,18,"1","OC","OPEN","SOUTH",3,7
2022-04-22,18,"1","OC","OPEN","WEST",1,6
2022-04-22,18,"1","OC","OPEN","WEST",2,5
2022-04-22,18,"1","OC","OPEN","WEST",3,6
2022-04-22,18,"3","CC","CAGED","CENTER",0,2
2022-04-22,18,"3","CC","CAGED","NORTH",1,6
2022-04-22,18,"3","CC","CAGED","NORTH",2,7
2022-04-22,18,"3","CC","CAGED","NORTH",3,5
2022-04-22,18,"3","CC","CAGED","EAST",1,5
2022-04-22,18,"3","CC","CAGED","EAST",2,4
2022-04-22,18,"3","CC","CAGED","EAST",3,5
2022-04-22,18,"3","CC","CAGED","SOUTH",1,7
2022-04-22,18,"3","CC","CAGED","SOUTH",2,6
2022-04-22,18,"3","CC","CAGED","SOUTH",3,5
2022-04-22,18,"3","CC","CAGED","WEST",1,3
2022-04-22,18,"3","CC","CAGED","WEST",2,6
2022-04-22,18,"3","CC","CAGED","WEST",3,3
2022-04-22,18,"REF","REF","REF","CENTER",0,3
2022-04-22,18,"REF","REF","REF","NORTH",1,2
2022-04-22,18,"REF","REF","REF","NORTH",2,3
2022-04-22,18,"REF","REF","REF","NORTH",3,5
2022-04-22,18,"REF","REF","REF","EAST",1,5
2022-04-22,18,"REF","REF","REF","EAST",2,3
2022-04-22,18,"REF","REF","REF","EAST",3,3
2022-04-22,18,"REF","REF","REF","SOUTH",1,4
2022-04-22,18,"REF","REF","REF","SOUTH",2,2
2022-04-22,18,"REF","REF","REF","SOUTH",3,6
2022-04-22,18,"REF","REF","REF","WEST",1,4
2022-04-22,18,"REF","REF","REF","WEST",2,4
2022-04-22,18,"REF","REF","REF","WEST",3,6
2022-04-22,20,"2","CC","CAGED","CENTER",0,4
2022-04-22,20,"2","CC","CAGED","NORTH",1,2
2022-04-22,20,"2","CC","CAGED","NORTH",2,5
2022-04-22,20,"2","CC","CAGED","NORTH",3,5
2022-04-22,20,"2","CC","CAGED","EAST",1,5
2022-04-22,20,"2","CC","CAGED","EAST",2,7
2022-04-22,20,"2","CC","CAGED","EAST",3,4
2022-04-22,20,"2","CC","CAGED","SOUTH",1,5
2022-04-22,20,"2","CC","CAGED","SOUTH",2,5
2022-04-22,20,"2","CC","CAGED","SOUTH",3,7
2022-04-22,20,"2","CC","CAGED","WEST",1,7
2022-04-22,20,"2","CC","CAGED","WEST",2,3
2022-04-22,20,"2","CC","CAGED","WEST",3,7
2022-04-22,20,"REF","REF","REF","CENTER",0,5
2022-04-22,20,"REF","REF","REF","NORTH",1,5
2022-04-22,20,"REF","REF","REF","NORTH",2,8
2022-04-22,20,"REF","REF","REF","NORTH",3,9
2022-04-22,20,"REF","REF","REF","EAST",1,7
2022-04-22,20,"REF","REF","REF","EAST",2,5
2022-04-22,20,"REF","REF","REF","EAST",3,7
2022-04-22,20,"REF","REF","REF","SOUTH",1,5
2022-04-22,20,"REF","REF","REF","SOUTH",2,6
2022-04-22,20,"REF","REF","REF","SOUTH",3,5
2022-04-22,20,"REF","REF","REF","WEST",1,7
2022-04-22,20,"REF","REF","REF","WEST",2,7
2022-04-22,20,"REF","REF","REF","WEST",3,6
2022-04-22,20,"5","OC","OPEN","CENTER",0,2
2022-04-22,20,"5","OC","OPEN","NORTH",1,6
2022-04-22,20,"5","OC","OPEN","NORTH",2,6
2022-04-22,20,"5","OC","OPEN","NORTH",3,7
2022-04-22,20,"5","OC","OPEN","EAST",1,4
2022-04-22,20,"5","OC","OPEN","EAST",2,7
2022-04-22,20,"5","OC","OPEN","EAST",3,4
2022-04-22,20,"5","OC","OPEN","SOUTH",1,3
2022-04-22,20,"5","OC","OPEN","SOUTH",2,6
2022-04-22,20,"5","OC","OPEN","SOUTH",3,6
2022-04-22,20,"5","OC","OPEN","WEST",1,4
2022-04-22,20,"5","OC","OPEN","WEST",2,5
2022-04-22,20,"5","OC","OPEN","WEST",3,7
2022-04-22,19,"5","OC","OPEN","CENTER",0,3
2022-04-22,19,"5","OC","OPEN","NORTH",1,4
2022-04-22,19,"5","OC","OPEN","NORTH",2,4
2022-04-22,19,"5","OC","OPEN","NORTH",3,4
2022-04-22,19,"5","OC","OPEN","EAST",1,4
2022-04-22,19,"5","OC","OPEN","EAST",2,6
2022-04-22,19,"5","OC","OPEN","EAST",3,5
2022-04-22,19,"5","OC","OPEN","SOUTH",1,3
2022-04-22,19,"5","OC","OPEN","SOUTH",2,4
2022-04-22,19,"5","OC","OPEN","SOUTH",3,2
2022-04-22,19,"5","OC","OPEN","WEST",1,3
2022-04-22,19,"5","OC","OPEN","WEST",2,4
2022-04-22,19,"5","OC","OPEN","WEST",3,3
2022-04-23,19,"REF","REF","REF","CENTER",0,6
2022-04-23,19,"REF","REF","REF","NORTH",1,6
2022-04-23,19,"REF","REF","REF","NORTH",2,5
2022-04-23,19,"REF","REF","REF","NORTH",3,5
2022-04-23,19,"REF","REF","REF","EAST",1,6
2022-04-23,19,"REF","REF","REF","EAST",2,4
2022-04-23,19,"REF","REF","REF","EAST",3,5
2022-04-23,19,"REF","REF","REF","SOUTH",1,4
2022-04-23,19,"REF","REF","REF","SOUTH",2,4
2022-04-23,19,"REF","REF","REF","SOUTH",3,3
2022-04-23,19,"REF","REF","REF","WEST",1,3
2022-04-23,19,"REF","REF","REF","WEST",2,2
2022-04-23,19,"REF","REF","REF","WEST",3,3
2022-04-23,19,"4","CC","CAGED","CENTER",0,0
2022-04-23,19,"4","CC","CAGED","NORTH",1,5
2022-04-23,19,"4","CC","CAGED","NORTH",2,5
2022-04-23,19,"4","CC","CAGED","NORTH",3,4
2022-04-23,19,"4","CC","CAGED","EAST",1,5
2022-04-23,19,"4","CC","CAGED","EAST",2,4
2022-04-23,19,"4","CC","CAGED","EAST",3,4
2022-04-23,19,"4","CC","CAGED","SOUTH",1,3
2022-04-23,19,"4","CC","CAGED","SOUTH",2,4
2022-04-23,19,"4","CC","CAGED","SOUTH",3,4
2022-04-23,19,"4","CC","CAGED","WEST",1,5
2022-04-23,19,"4","CC","CAGED","WEST",2,5
2022-04-23,19,"4","CC","CAGED","WEST",3,4
2022-04-22,4,"REF","REF","REF","CENTER",0,5
2022-04-22,4,"REF","REF","REF","NORTH",1,5
2022-04-22,4,"REF","REF","REF","NORTH",2,6
2022-04-22,4,"REF","REF","REF","NORTH",3,4
2022-04-22,4,"REF","REF","REF","EAST",1,7
2022-04-22,4,"REF","REF","REF","EAST",2,5
2022-04-22,4,"REF","REF","REF","EAST",3,7
2022-04-22,4,"REF","REF","REF","SOUTH",1,5
2022-04-22,4,"REF","REF","REF","SOUTH",2,4
2022-04-22,4,"REF","REF","REF","SOUTH",3,5
2022-04-22,4,"REF","REF","REF","WEST",1,4
2022-04-22,4,"REF","REF","REF","WEST",2,7
2022-04-22,4,"REF","REF","REF","WEST",3,8
