YEAR,MONTH,DAY,DATE,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,TRANSECT,DISTANCE,CELLS,DISTURBANCE,NOTES
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,SOUTH,3,1,0.0625,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,WEST,1,3,0.1875,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,WEST,2,1,0.0625,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,WEST,3,1,0.0625,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,CENTER,0,2,0.1250,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,NORTH,1,2,0.1250,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,NORTH,2,0,0.0000,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,NORTH,3,1,0.0625,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,EAST,1,1,0.0625,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,EAST,2,3,0.1875,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,EAST,3,0,0.0000,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,SOUTH,1,2,0.1250,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,SOUTH,2,2,0.1250,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,SOUTH,3,1,0.0625,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,WEST,1,2,0.1250,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,WEST,2,0,0.0000,
2022,4,18,4/18/21,1,37,4,OC,OPEN,CARRION,WEST,3,0,0.0000,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,CENTER,0,15,0.9375,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,NORTH,1,3,0.1875,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,NORTH,2,6,0.3750,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,NORTH,3,2,0.1250,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,EAST,1,13,0.8125,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,EAST,2,0,0.0000,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,EAST,3,0,0.0000,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,SOUTH,1,0,0.0000,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,SOUTH,2,2,0.1250,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,SOUTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,WEST,1,1,0.0625,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,WEST,2,9,0.5625,
2022,4,18,4/18/21,1,37,5,CS,CAGED,SCAT,WEST,3,0,NA,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,CENTER,0,0,0.0000,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,NORTH,1,12,0.7500,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,NORTH,2,4,0.2500,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,NORTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,EAST,1,12,0.7500,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,EAST,2,6,0.3750,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,EAST,3,12,0.7500,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,SOUTH,1,1,0.0625,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,SOUTH,2,0,0.0000,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,SOUTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,WEST,1,1,0.0625,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,WEST,2,2,0.1250,
2022,4,18,4/18/21,1,37,0,REF,REF,REF,WEST,3,3,0.1875,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,CENTER,0,5,0.3125,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,NORTH,1,4,0.2500,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,NORTH,2,11,0.6875,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,NORTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,EAST,1,5,0.3125,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,EAST,2,10,0.6250,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,EAST,3,10,0.6250,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,SOUTH,1,13,0.8125,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,SOUTH,2,10,0.6250,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,SOUTH,3,2,0.1250,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,WEST,1,9,0.5625,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,WEST,2,0,0.0000,
2022,4,18,4/18/21,1,37,6,CP,CAGED,PROPAGULES,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,CENTER,0,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,NORTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,NORTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,NORTH,3,2,0.1250,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,EAST,1,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,EAST,2,5,0.3125,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,EAST,3,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,SOUTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,SOUTH,2,4,0.2500,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,SOUTH,3,2,0.1250,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,WEST,1,0,0.0000,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,WEST,2,3,0.1875,
2022,4,19,4/19/21,1,11,1,OP,OPEN,PROPAGULES,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,CENTER,0,2,0.1250,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,NORTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,NORTH,2,1,0.0625,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,NORTH,3,2,0.1250,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,EAST,1,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,EAST,2,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,EAST,3,15,0.9375,Not carrion disturbance
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,SOUTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,SOUTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,SOUTH,3,2,0.1250,Not carrion disturbance
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,WEST,1,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,WEST,2,0,0.0000,
2022,4,19,4/19/21,1,11,2,CP,CAGED,PROPAGULES,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,CENTER,0,2,0.1250,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,NORTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,NORTH,2,2,0.1250,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,NORTH,3,0,0.0000,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,EAST,1,3,0.1875,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,EAST,2,2,0.1250,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,EAST,3,15,0.9375,Not carrion disturbance
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,SOUTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,SOUTH,2,13,0.8125,Not carrion disturbance
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,SOUTH,3,15,0.9375,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,WEST,1,0,0.0000,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,WEST,2,0,0.0000,
2022,4,19,4/19/21,1,11,3,OS,OPEN,SCAT,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,CENTER,0,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,NORTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,NORTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,NORTH,3,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,EAST,1,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,EAST,2,4,0.2500,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,EAST,3,6,0.3750,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,SOUTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,SOUTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,SOUTH,3,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,WEST,1,0,0.0000,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,WEST,2,1,0.0625,
2022,4,19,4/19/21,1,11,4,CS,CAGED,CARRION,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,CENTER,0,10,0.6250,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,NORTH,1,8,0.5000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,NORTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,NORTH,3,0,0.0000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,EAST,1,0,0.0000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,EAST,2,0,0.0000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,EAST,3,3,0.1875,Not carrion disturbance
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,SOUTH,1,4,0.2500,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,SOUTH,2,2,0.1250,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,SOUTH,3,1,0.0625,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,WEST,1,8,0.5000,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,WEST,2,2,0.1250,
2022,4,19,4/19/21,1,11,5,OC,OPEN,CARRION,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,CENTER,0,16,1.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,NORTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,NORTH,2,2,0.1250,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,NORTH,3,9,0.5625,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,EAST,1,1,0.0625,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,EAST,2,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,EAST,3,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,SOUTH,1,5,0.3125,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,SOUTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,SOUTH,3,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,WEST,1,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,WEST,2,0,0.0000,
2022,4,19,4/19/21,1,11,6,CC,CAGED,CARRION,WEST,3,0,0.0000,
2022,4,19,4/19/21,1,11,0,REF,REF,REF,CENTER,0,1,0.0625,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,NORTH,1,0,0.0000,
2022,4,19,4/19/21,1,11,0,REF,REF,REF,NORTH,2,7,0.4375,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,NORTH,3,1,0.0625,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,EAST,1,0,0.0000,
2022,4,19,4/19/21,1,11,0,REF,REF,REF,EAST,2,2,0.1250,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,EAST,3,16,1.0000,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,SOUTH,1,2,0.1250,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,SOUTH,2,0,0.0000,
2022,4,19,4/19/21,1,11,0,REF,REF,REF,SOUTH,3,0,0.0000,
2022,4,19,4/19/21,1,11,0,REF,REF,REF,WEST,1,2,0.1250,Not carrion disturbance
2022,4,19,4/19/21,1,11,0,REF,REF,REF,WEST,2,0,0.0000,
2022,4,19,4/19/21,1,11,0,REF,REF,REF,WEST,3,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,CENTER,0,1,0.0625,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,NORTH,1,3,0.1875,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,NORTH,2,1,0.0625,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,NORTH,3,13,0.8125,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,EAST,1,0,0.0000,
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,EAST,2,15,0.9375,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,EAST,3,12,0.7500,ants
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,SOUTH,1,0,0.0000,
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,SOUTH,2,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,SOUTH,3,0,0.0000,
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,WEST,1,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,WEST,2,0,0.0000,
2022,4,20,4/20/22,1,38,2,OP,OPEN,PROPAGULES,WEST,3,7,0.4375,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,CENTER,0,1,0.0625,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,NORTH,1,0,0.0000,
2022,4,20,4/20/22,1,38,0,REF,REF,REF,NORTH,2,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,NORTH,3,0,0.0000,
2022,4,20,4/20/22,1,38,0,REF,REF,REF,EAST,1,4,0.2500,
2022,4,20,4/20/22,1,38,0,REF,REF,REF,EAST,2,13,0.8125,
2022,4,20,4/20/22,1,38,0,REF,REF,REF,EAST,3,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,SOUTH,1,4,0.2500,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,SOUTH,2,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,SOUTH,3,0,0.0000,
2022,4,20,4/20/22,1,38,0,REF,REF,REF,WEST,1,3,0.1875,Not carrion disturbance
2022,4,20,4/20/22,1,38,0,REF,REF,REF,WEST,2,0,0.0000,
2022,4,20,4/20/22,1,38,0,REF,REF,REF,WEST,3,0,0.0000,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,CENTER,0,10,0.6250,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,NORTH,1,15,0.9375,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,NORTH,2,13,0.8125,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,NORTH,3,13,0.8125,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,EAST,1,3,0.1875,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,EAST,2,4,0.2500,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,EAST,3,1,0.0625,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,SOUTH,1,14,0.8750,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,SOUTH,2,2,0.1250,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,SOUTH,3,12,0.7500,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,WEST,1,11,0.6875,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,WEST,2,4,0.2500,
2022,4,20,4/20/22,1,38,3,OC,OPEN,CARRION,WEST,3,7,0.4375,
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,CENTER,0,2,0.1250,
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,NORTH,1,3,0.1875,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,NORTH,2,7,0.4375,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,NORTH,3,16,1.0000,
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,EAST,1,0,0.0000,
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,EAST,2,5,0.3125,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,EAST,3,12,0.7500,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,SOUTH,1,1,0.0625,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,SOUTH,2,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,SOUTH,3,3,0.1875,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,WEST,1,4,0.2500,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,WEST,2,7,0.4375,Not carrion disturbance
2022,4,20,4/20/22,1,38,4,OS,OPEN,SCAT,WEST,3,9,0.5625,Not carrion disturbance
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,CENTER,0,2,0.1250,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,NORTH,1,2,0.1250,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,NORTH,2,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,NORTH,3,6,0.3750,Not carrion disturbance
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,EAST,1,8,0.5000,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,EAST,2,1,0.0625,Not carrion disturbance
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,EAST,3,0,0.0000,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,SOUTH,1,5,0.3125,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,SOUTH,2,2,0.1250,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,SOUTH,3,7,0.4375,Not carrion disturbance
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,WEST,1,1,0.0625,
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,WEST,2,3,0.1875,Not carrion disturbance
2022,4,20,4/20/22,1,38,1,CC,CAGED,CARRION,WEST,3,0,0.0000,
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,CENTER,0,3,0.1875,Not carrion disturbance
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,NORTH,1,11,0.6875,Not carrion disturbance
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,NORTH,2,4,0.2500,Not carrion disturbance
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,NORTH,3,7,0.4375,Not carrion disturbance
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,EAST,1,5,0.3125,Not carrion disturbance
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,EAST,2,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,EAST,3,0,0.0000,noted observation*
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,SOUTH,1,0,0.0000,
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,SOUTH,2,3,0.1875,
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,SOUTH,3,0,0.0000,
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,WEST,1,0,0.0000,
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,WEST,2,0,0.0000,
2022,4,20,4/20/22,1,38,5,CP,CAGED,PROPAGULES,WEST,3,0,0.0000,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,CENTER,0,16,1.0000,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,NORTH,1,13,0.8125,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,NORTH,2,15,0.9375,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,NORTH,3,14,0.8750,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,EAST,1,7,0.4375,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,EAST,2,0,0.0000,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,EAST,3,2,0.1250,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,SOUTH,1,6,0.3750,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,SOUTH,2,0,0.0000,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,SOUTH,3,2,0.1250,Not carrion disturbance
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,WEST,1,2,0.1250,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,WEST,2,10,0.6250,
2022,4,20,4/20/22,1,38,6,CS,CAGED,SCAT,WEST,3,6,0.3750,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,CENTER,0,16,1.0000,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,NORTH,1,16,1.0000,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,NORTH,2,16,1.0000,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,NORTH,3,0,0.0000,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,EAST,1,3,0.1875,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,EAST,2,14,0.8750,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,EAST,3,15,0.9375,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,SOUTH,1,15,0.9375,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,SOUTH,2,16,1.0000,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,SOUTH,3,14,0.8750,
2022,4,20,4/20/22,1,4,1,CC,CAGED,CARRION,WEST,1,16,1.0000,
